"LOCATION","Country","STATISTICS","Reference Statistics","UNIT_MEASURE","Unit of measurement","TIME","Year","Value","Flag Codes","Flags"
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1998","1998",102540.53,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1999","1999",106127.7,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2000","2000",109009.77,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2001","2001",113252.22,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2002","2002",115758.09,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2003","2003",118878.19,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2004","2004",130153.41,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2005","2005",129973.41,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2006","2006",134929.78,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2007","2007",139842.45,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2008","2008",146510.77,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2009","2009",155960.84,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2010","2010",156351.16,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2011","2011",157845.92,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2012","2012",163191.88,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2013","2013",167292.06,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2014","2014",174671.56,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2015","2015",176029.97,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2016","2016",179059.03,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2017","2017",182091.28,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2018","2018",187850.56,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2019","2019",193136.61,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2020","2020",216207.48,,
"AUT","Austria","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2021","2021",227261.64,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1995","1995",210489.09,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1996","1996",214287.09,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1997","1997",224101.5,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1998","1998",232623.8,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1999","1999",242307.59,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2000","2000",256376.41,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2001","2001",264334.91,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2002","2002",273255.91,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2003","2003",281200.19,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2004","2004",296819.69,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2005","2005",310037.59,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2006","2006",325151.5,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2007","2007",343618.91,,
"BEL","Belgium","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2008","2008",351743.09,,
